Energy Usage Information
"For location: DEMO HOUSEHOLD, AGOURA HILLS CA 91301

Meter Reading Information
"Type of readings: Electricity"

Summary of Electric Power Usage Information*
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. "

Detailed Usage
"09/04/2024 ","09/04/2024 03:00AM ","09/04/2024 04:00AM ","0.378","0.000"
"09/04/2024 ","09/04/2024 04:00AM ","09/04/2024 05:00AM ","2.874","0.000"
"09/04/2024 ","09/04/2024 05:00AM ","09/04/2024 06:00AM ","8.070","0.000"
"09/04/2024 ","09/04/2024 06:00AM ","09/04/2024 07:00AM ","8.058","0.000"
"09/04/2024 ","09/04/2024 07:00AM ","09/04/2024 08:00AM ","5.844","0.000"
"09/04/2024 ","09/04/2024 08:00AM ","09/04/2024 09:00AM ","0.552","0.000"
"09/04/2024 ","09/04/2024 09:00AM ","09/04/2024 10:00AM ","0.606","0.000"
"09/04/2024 ","09/04/2024 10:00AM ","09/04/2024 11:00AM ","0.822","0.000"
"09/04/2024 ","09/04/2024 11:00AM ","09/04/2024 12:00PM ","1.638","0.000"
"09/04/2024 ","09/04/2024 12:00PM ","09/04/2024 1:00PM ","2.748","0.000"
"09/04/2024 ","09/04/2024 1:00PM ","09/04/2024 2:00PM ","3.516","0.000"
"09/04/2024 ","09/04/2024 2:00PM ","09/04/2024 3:00PM ","4.068","0.000"
"09/04/2024 ","09/04/2024 3:00PM ","09/04/2024 4:00PM ","3.906","0.000"
"09/04/2024 ","09/04/2024 4:00PM ","09/04/2024 5:00PM ","4.572","0.000"
"09/04/2024 ","09/04/2024 5:00PM ","09/04/2024 6:00PM ","4.272","0.000"
"09/04/2024 ","09/04/2024 6:00PM ","09/04/2024 7:00PM ","3.726","0.000"
"09/04/2024 ","09/04/2024 7:00PM ","09/04/2024 8:00PM ","3.402","0.000"
"09/04/2024 ","09/04/2024 8:00PM ","09/04/2024 9:00PM ","2.796","0.000"
"09/04/2024 ","09/04/2024 9:00PM ","09/04/2024 10:00PM ","2.502","0.000"
"09/04/2024 ","09/04/2024 10:00PM ","09/04/2024 11:00PM ","2.010","0.000"
"09/04/2024 ","09/04/2024 11:00PM ","09/05/2024 12:00AM ","1.410","0.000"
"09/05/2024 ","09/05/2024 12:00AM ","09/05/2024 01:00AM ","1.278","0.000"
"09/05/2024 ","09/05/2024 01:00AM ","09/05/2024 02:00AM ","1.170","0.000"
"09/05/2024 ","09/05/2024 02:00AM ","09/05/2024 03:00AM ","0.738","0.000"
"09/05/2024 ","09/05/2024 03:00AM ","09/05/2024 04:00AM ","0.360","0.000"
"09/05/2024 ","09/05/2024 04:00AM ","09/05/2024 05:00AM ","0.720","0.000"
"09/05/2024 ","09/05/2024 05:00AM ","09/05/2024 06:00AM ","0.354","0.000"
"09/05/2024 ","09/05/2024 06:00AM ","09/05/2024 07:00AM ","0.342","0.000"
"09/05/2024 ","09/05/2024 07:00AM ","09/05/2024 08:00AM ","0.942","0.000"
"09/05/2024 ","09/05/2024 08:00AM ","09/05/2024 09:00AM ","0.360","0.000"
"09/05/2024 ","09/05/2024 09:00AM ","09/05/2024 10:00AM ","0.360","0.000"
"09/05/2024 ","09/05/2024 10:00AM ","09/05/2024 11:00AM ","0.744","0.000"
"09/05/2024 ","09/05/2024 11:00AM ","09/05/2024 12:00PM ","1.650","0.000"
"09/05/2024 ","09/05/2024 12:00PM ","09/05/2024 1:00PM ","3.558","0.000"
"09/05/2024 ","09/05/2024 1:00PM ","09/05/2024 2:00PM ","4.602","0.000"
"09/05/2024 ","09/05/2024 2:00PM ","09/05/2024 3:00PM ","5.034","0.000"
"09/05/2024 ","09/05/2024 3:00PM ","09/05/2024 4:00PM ","4.854","0.000"
"09/05/2024 ","09/05/2024 4:00PM ","09/05/2024 5:00PM ","4.008","0.000"
"09/05/2024 ","09/05/2024 5:00PM ","09/05/2024 6:00PM ","3.660","0.000"
"09/05/2024 ","09/05/2024 6:00PM ","09/05/2024 7:00PM ","3.600","0.000"
"09/05/2024 ","09/05/2024 7:00PM ","09/05/2024 8:00PM ","2.826","0.000"
"09/05/2024 ","09/05/2024 8:00PM ","09/05/2024 9:00PM ","3.972","0.000"
"09/05/2024 ","09/05/2024 9:00PM ","09/05/2024 10:00PM ","4.044","0.000"
"09/05/2024 ","09/05/2024 10:00PM ","09/05/2024 11:00PM ","3.540","0.000"
"09/05/2024 ","09/05/2024 11:00PM ","09/06/2024 12:00AM ","2.412","0.000"
"09/06/2024 ","09/06/2024 12:00AM ","09/06/2024 01:00AM ","2.070","0.000"
"09/06/2024 ","09/06/2024 01:00AM ","09/06/2024 02:00AM ","1.986","0.000"
"09/06/2024 ","09/06/2024 02:00AM ","09/06/2024 03:00AM ","1.452","0.000"
"09/06/2024 ","09/06/2024 03:00AM ","09/06/2024 04:00AM ","1.392","0.000"
"09/06/2024 ","09/06/2024 04:00AM ","09/06/2024 05:00AM ","6.624","0.000"
"09/06/2024 ","09/06/2024 05:00AM ","09/06/2024 06:00AM ","9.228","0.000"
"09/06/2024 ","09/06/2024 06:00AM ","09/06/2024 07:00AM ","8.670","0.000"
"09/06/2024 ","09/06/2024 07:00AM ","09/06/2024 08:00AM ","6.366","0.000"
"09/06/2024 ","09/06/2024 08:00AM ","09/06/2024 09:00AM ","0.912","0.000"
"09/06/2024 ","09/06/2024 09:00AM ","09/06/2024 10:00AM ","0.714","0.000"
"09/06/2024 ","09/06/2024 10:00AM ","09/06/2024 11:00AM ","1.746","0.000"
"09/06/2024 ","09/06/2024 11:00AM ","09/06/2024 12:00PM ","4.104","0.000"
"09/06/2024 ","09/06/2024 12:00PM ","09/06/2024 1:00PM ","4.824","0.000"
"09/06/2024 ","09/06/2024 1:00PM ","09/06/2024 2:00PM ","5.136","0.000"
"09/06/2024 ","09/06/2024 2:00PM ","09/06/2024 3:00PM ","5.754","0.000"
"09/06/2024 ","09/06/2024 3:00PM ","09/06/2024 4:00PM ","5.412","0.000"
"09/06/2024 ","09/06/2024 4:00PM ","09/06/2024 5:00PM ","5.172","0.000"
"09/06/2024 ","09/06/2024 5:00PM ","09/06/2024 6:00PM ","5.340","0.000"
"09/06/2024 ","09/06/2024 6:00PM ","09/06/2024 7:00PM ","4.968","0.000"
"09/06/2024 ","09/06/2024 7:00PM ","09/06/2024 8:00PM ","5.124","0.000"
"09/06/2024 ","09/06/2024 8:00PM ","09/06/2024 9:00PM ","3.600","0.000"
"09/06/2024 ","09/06/2024 9:00PM ","09/06/2024 10:00PM ","3.132","0.000"
"09/06/2024 ","09/06/2024 10:00PM ","09/06/2024 11:00PM ","2.754","0.000"
"09/06/2024 ","09/06/2024 11:00PM ","09/07/2024 12:00AM ","1.944","0.000"
"09/07/2024 ","09/07/2024 12:00AM ","09/07/2024 01:00AM ","1.440","0.000"
"09/07/2024 ","09/07/2024 01:00AM ","09/07/2024 02:00AM ","1.122","0.000"
"09/07/2024 ","09/07/2024 02:00AM ","09/07/2024 03:00AM ","1.104","0.000"
"09/07/2024 ","09/07/2024 03:00AM ","09/07/2024 04:00AM ","0.786","0.000"
"09/07/2024 ","09/07/2024 04:00AM ","09/07/2024 05:00AM ","0.642","0.000"
"09/07/2024 ","09/07/2024 05:00AM ","09/07/2024 06:00AM ","0.390","0.000"
"09/07/2024 ","09/07/2024 06:00AM ","09/07/2024 07:00AM ","1.278","0.000"
"09/07/2024 ","09/07/2024 07:00AM ","09/07/2024 08:00AM ","1.452","0.000"
"09/07/2024 ","09/07/2024 08:00AM ","09/07/2024 09:00AM ","2.082","0.000"
"09/07/2024 ","09/07/2024 09:00AM ","09/07/2024 10:00AM ","1.500","0.000"
"09/07/2024 ","09/07/2024 10:00AM ","09/07/2024 11:00AM ","2.646","0.000"
"09/07/2024 ","09/07/2024 11:00AM ","09/07/2024 12:00PM ","2.820","0.000"
"09/07/2024 ","09/07/2024 12:00PM ","09/07/2024 1:00PM ","3.288","0.000"
"09/07/2024 ","09/07/2024 1:00PM ","09/07/2024 2:00PM ","5.964","0.000"
"09/07/2024 ","09/07/2024 2:00PM ","09/07/2024 3:00PM ","5.652","0.000"
"09/07/2024 ","09/07/2024 3:00PM ","09/07/2024 4:00PM ","5.376","0.000"
"09/07/2024 ","09/07/2024 4:00PM ","09/07/2024 5:00PM ","5.340","0.000"
"09/07/2024 ","09/07/2024 5:00PM ","09/07/2024 6:00PM ","4.734","0.000"
"09/07/2024 ","09/07/2024 6:00PM ","09/07/2024 7:00PM ","5.382","0.000"
"09/07/2024 ","09/07/2024 7:00PM ","09/07/2024 8:00PM ","5.346","0.000"
"09/07/2024 ","09/07/2024 8:00PM ","09/07/2024 9:00PM ","4.614","0.000"
"09/07/2024 ","09/07/2024 9:00PM ","09/07/2024 10:00PM ","4.218","0.000"
"09/07/2024 ","09/07/2024 10:00PM ","09/07/2024 11:00PM ","2.628","0.000"
"09/07/2024 ","09/07/2024 11:00PM ","09/08/2024 12:00AM ","2.868","0.000"
"09/08/2024 ","09/08/2024 12:00AM ","09/08/2024 01:00AM ","1.350","0.000"
"09/08/2024 ","09/08/2024 01:00AM ","09/08/2024 02:00AM ","1.110","0.000"
"09/08/2024 ","09/08/2024 02:00AM ","09/08/2024 03:00AM ","0.948","0.000"
"09/08/2024 ","09/08/2024 03:00AM ","09/08/2024 04:00AM ","0.408","0.000"
"09/08/2024 ","09/08/2024 04:00AM ","09/08/2024 05:00AM ","0.402","0.000"
"09/08/2024 ","09/08/2024 05:00AM ","09/08/2024 06:00AM ","7.818","0.000"
"09/08/2024 ","09/08/2024 06:00AM ","09/08/2024 07:00AM ","8.964","0.000"
"09/08/2024 ","09/08/2024 07:00AM ","09/08/2024 08:00AM ","5.376","0.000"
"09/08/2024 ","09/08/2024 08:00AM ","09/08/2024 09:00AM ","0.486","0.000"
"09/08/2024 ","09/08/2024 09:00AM ","09/08/2024 10:00AM ","0.702","0.000"
"09/08/2024 ","09/08/2024 10:00AM ","09/08/2024 11:00AM ","1.668","0.000"
"09/08/2024 ","09/08/2024 11:00AM ","09/08/2024 12:00PM ","2.802","0.000"
"09/08/2024 ","09/08/2024 12:00PM ","09/08/2024 1:00PM ","5.256","0.000"
"09/08/2024 ","09/08/2024 1:00PM ","09/08/2024 2:00PM ","4.992","0.000"
"09/08/2024 ","09/08/2024 2:00PM ","09/08/2024 3:00PM ","5.820","0.000"
"09/08/2024 ","09/08/2024 3:00PM ","09/08/2024 4:00PM ","5.376","0.000"
"09/08/2024 ","09/08/2024 4:00PM ","09/08/2024 5:00PM ","4.536","0.000"
"09/08/2024 ","09/08/2024 5:00PM ","09/08/2024 6:00PM ","3.504","0.000"
"09/08/2024 ","09/08/2024 6:00PM ","09/08/2024 7:00PM ","3.378","0.000"
"09/08/2024 ","09/08/2024 7:00PM ","09/08/2024 8:00PM ","2.670","0.000"
"09/08/2024 ","09/08/2024 8:00PM ","09/08/2024 9:00PM ","2.538","0.000"
"09/08/2024 ","09/08/2024 9:00PM ","09/08/2024 10:00PM ","3.192","0.000"
"09/08/2024 ","09/08/2024 10:00PM ","09/08/2024 11:00PM ","3.204","0.000"
"09/08/2024 ","09/08/2024 11:00PM ","09/09/2024 12:00AM ","2.082","0.000"
"09/09/2024 ","09/09/2024 12:00AM ","09/09/2024 01:00AM ","1.392","0.000"
"09/09/2024 ","09/09/2024 01:00AM ","09/09/2024 02:00AM ","1.212","0.000"
"09/09/2024 ","09/09/2024 02:00AM ","09/09/2024 03:00AM ","0.774","0.000"
"09/09/2024 ","09/09/2024 03:00AM ","09/09/2024 04:00AM ","4.224","0.000"
"09/09/2024 ","09/09/2024 04:00AM ","09/09/2024 05:00AM ","8.268","0.000"
"09/09/2024 ","09/09/2024 05:00AM ","09/09/2024 06:00AM ","8.232","0.000"
"09/09/2024 ","09/09/2024 06:00AM ","09/09/2024 07:00AM ","8.202","0.000"
"09/09/2024 ","09/09/2024 07:00AM ","09/09/2024 08:00AM ","5.118","0.000"
"09/09/2024 ","09/09/2024 08:00AM ","09/09/2024 09:00AM ","0.756","0.000"
"09/09/2024 ","09/09/2024 09:00AM ","09/09/2024 10:00AM ","1.092","0.000"
"09/09/2024 ","09/09/2024 10:00AM ","09/09/2024 11:00AM ","1.998","0.000"
"09/09/2024 ","09/09/2024 11:00AM ","09/09/2024 12:00PM ","3.504","0.000"
"09/09/2024 ","09/09/2024 12:00PM ","09/09/2024 1:00PM ","4.110","0.000"
"09/09/2024 ","09/09/2024 1:00PM ","09/09/2024 2:00PM ","5.244","0.000"
"09/09/2024 ","09/09/2024 2:00PM ","09/09/2024 3:00PM ","4.686","0.000"
"09/09/2024 ","09/09/2024 3:00PM ","09/09/2024 4:00PM ","4.554","0.000"
"09/09/2024 ","09/09/2024 4:00PM ","09/09/2024 5:00PM ","4.476","0.000"
"09/09/2024 ","09/09/2024 5:00PM ","09/09/2024 6:00PM ","5.694","0.000"
"09/09/2024 ","09/09/2024 6:00PM ","09/09/2024 7:00PM ","5.808","0.000"
"09/09/2024 ","09/09/2024 7:00PM ","09/09/2024 8:00PM ","4.392","0.000"
"09/09/2024 ","09/09/2024 8:00PM ","09/09/2024 9:00PM ","3.786","0.000"
"09/09/2024 ","09/09/2024 9:00PM ","09/09/2024 10:00PM ","3.024","0.000"
"09/09/2024 ","09/09/2024 10:00PM ","09/09/2024 11:00PM ","1.998","0.000"
"09/09/2024 ","09/09/2024 11:00PM ","09/10/2024 12:00AM ","1.818","0.000"
"09/10/2024 ","09/10/2024 12:00AM ","09/10/2024 01:00AM ","1.734","0.000"
"09/10/2024 ","09/10/2024 01:00AM ","09/10/2024 02:00AM ","1.314","0.000"
"09/10/2024 ","09/10/2024 02:00AM ","09/10/2024 03:00AM ","1.140","0.000"
"09/10/2024 ","09/10/2024 03:00AM ","09/10/2024 04:00AM ","0.858","0.000"
"09/10/2024 ","09/10/2024 04:00AM ","09/10/2024 05:00AM ","0.810","0.000"
"09/10/2024 ","09/10/2024 05:00AM ","09/10/2024 06:00AM ","3.012","0.000"
"09/10/2024 ","09/10/2024 06:00AM ","09/10/2024 07:00AM ","8.244","0.000"
"09/10/2024 ","09/10/2024 07:00AM ","09/10/2024 08:00AM ","7.266","0.000"
"09/10/2024 ","09/10/2024 08:00AM ","09/10/2024 09:00AM ","0.624","0.000"
"09/10/2024 ","09/10/2024 09:00AM ","09/10/2024 10:00AM ","0.834","0.000"
"09/10/2024 ","09/10/2024 10:00AM ","09/10/2024 11:00AM ","1.194","0.000"
"09/10/2024 ","09/10/2024 11:00AM ","09/10/2024 12:00PM ","1.626","0.000"
"09/10/2024 ","09/10/2024 12:00PM ","09/10/2024 1:00PM ","2.724","0.000"
"09/10/2024 ","09/10/2024 1:00PM ","09/10/2024 2:00PM ","3.876","0.000"
"09/10/2024 ","09/10/2024 2:00PM ","09/10/2024 3:00PM ","3.996","0.000"
"09/10/2024 ","09/10/2024 3:00PM ","09/10/2024 4:00PM ","4.938","0.000"
"09/10/2024 ","09/10/2024 4:00PM ","09/10/2024 5:00PM ","4.770","0.000"
"09/10/2024 ","09/10/2024 5:00PM ","09/10/2024 6:00PM ","4.260","0.000"
"09/10/2024 ","09/10/2024 6:00PM ","09/10/2024 7:00PM ","4.110","0.000"
"09/10/2024 ","09/10/2024 7:00PM ","09/10/2024 8:00PM ","2.940","0.000"
"09/10/2024 ","09/10/2024 8:00PM ","09/10/2024 9:00PM ","3.234","0.000"
"09/10/2024 ","09/10/2024 9:00PM ","09/10/2024 10:00PM ","2.184","0.000"
"09/10/2024 ","09/10/2024 10:00PM ","09/10/2024 11:00PM ","1.362","0.000"
"09/10/2024 ","09/10/2024 11:00PM ","09/11/2024 12:00AM ","0.774","0.000"
"09/11/2024 ","09/11/2024 12:00AM ","09/11/2024 01:00AM ","0.528","0.000"
"09/11/2024 ","09/11/2024 01:00AM ","09/11/2024 02:00AM ","0.648","0.000"
"09/11/2024 ","09/11/2024 02:00AM ","09/11/2024 03:00AM ","0.384","0.000"
"09/11/2024 ","09/11/2024 03:00AM ","09/11/2024 04:00AM ","0.366","0.000"
"09/11/2024 ","09/11/2024 04:00AM ","09/11/2024 05:00AM ","3.678","0.000"
"09/11/2024 ","09/11/2024 05:00AM ","09/11/2024 06:00AM ","8.070","0.000"
"09/11/2024 ","09/11/2024 06:00AM ","09/11/2024 07:00AM ","8.028","0.000"
"09/11/2024 ","09/11/2024 07:00AM ","09/11/2024 08:00AM ","4.632","0.000"
"09/11/2024 ","09/11/2024 08:00AM ","09/11/2024 09:00AM ","0.942","0.000"
"09/11/2024 ","09/11/2024 09:00AM ","09/11/2024 10:00AM ","0.804","0.000"
"09/11/2024 ","09/11/2024 10:00AM ","09/11/2024 11:00AM ","0.576","0.000"
"09/11/2024 ","09/11/2024 11:00AM ","09/11/2024 12:00PM ","0.642","0.000"
"09/11/2024 ","09/11/2024 12:00PM ","09/11/2024 1:00PM ","0.534","0.000"
"09/11/2024 ","09/11/2024 1:00PM ","09/11/2024 2:00PM ","0.564","0.000"
"09/11/2024 ","09/11/2024 2:00PM ","09/11/2024 3:00PM ","0.564","0.000"
"09/11/2024 ","09/11/2024 3:00PM ","09/11/2024 4:00PM ","1.044","0.000"
"09/11/2024 ","09/11/2024 4:00PM ","09/11/2024 5:00PM ","2.376","0.000"
"09/11/2024 ","09/11/2024 5:00PM ","09/11/2024 6:00PM ","1.842","0.000"
"09/11/2024 ","09/11/2024 6:00PM ","09/11/2024 7:00PM ","2.448","0.000"
"09/11/2024 ","09/11/2024 7:00PM ","09/11/2024 8:00PM ","2.112","0.000"
"09/11/2024 ","09/11/2024 8:00PM ","09/11/2024 9:00PM ","2.490","0.000"
"09/11/2024 ","09/11/2024 9:00PM ","09/11/2024 10:00PM ","1.176","0.000"
"09/11/2024 ","09/11/2024 10:00PM ","09/11/2024 11:00PM ","0.852","0.000"
"09/11/2024 ","09/11/2024 11:00PM ","09/12/2024 12:00AM ","0.852","0.000"
"09/12/2024 ","09/12/2024 12:00AM ","09/12/2024 01:00AM ","0.360","0.000"
"09/12/2024 ","09/12/2024 01:00AM ","09/12/2024 02:00AM ","0.354","0.000"
"09/12/2024 ","09/12/2024 02:00AM ","09/12/2024 03:00AM ","0.366","0.000"
"09/12/2024 ","09/12/2024 03:00AM ","09/12/2024 04:00AM ","0.390","0.000"
"09/12/2024 ","09/12/2024 04:00AM ","09/12/2024 05:00AM ","0.324","0.000"
"09/12/2024 ","09/12/2024 05:00AM ","09/12/2024 06:00AM ","0.324","0.000"
"09/12/2024 ","09/12/2024 06:00AM ","09/12/2024 07:00AM ","0.306","0.000"
"09/12/2024 ","09/12/2024 07:00AM ","09/12/2024 08:00AM ","0.810","0.000"
"09/12/2024 ","09/12/2024 08:00AM ","09/12/2024 09:00AM ","0.570","0.000"
"09/12/2024 ","09/12/2024 09:00AM ","09/12/2024 10:00AM ","0.306","0.000"
"09/12/2024 ","09/12/2024 10:00AM ","09/12/2024 11:00AM ","0.342","0.000"
"09/12/2024 ","09/12/2024 11:00AM ","09/12/2024 12:00PM ","0.408","0.000"
"09/12/2024 ","09/12/2024 12:00PM ","09/12/2024 1:00PM ","0.348","0.000"
"09/12/2024 ","09/12/2024 1:00PM ","09/12/2024 2:00PM ","0.324","0.000"
"09/12/2024 ","09/12/2024 2:00PM ","09/12/2024 3:00PM ","1.182","0.000"
"09/12/2024 ","09/12/2024 3:00PM ","09/12/2024 4:00PM ","2.454","0.000"
"09/12/2024 ","09/12/2024 4:00PM ","09/12/2024 5:00PM ","2.460","0.000"
"09/12/2024 ","09/12/2024 5:00PM ","09/12/2024 6:00PM ","2.178","0.000"
"09/12/2024 ","09/12/2024 6:00PM ","09/12/2024 7:00PM ","2.532","0.000"
"09/12/2024 ","09/12/2024 7:00PM ","09/12/2024 8:00PM ","1.806","0.000"
"09/12/2024 ","09/12/2024 8:00PM ","09/12/2024 9:00PM ","1.698","0.000"
"09/12/2024 ","09/12/2024 9:00PM ","09/12/2024 10:00PM ","0.966","0.000"
"09/12/2024 ","09/12/2024 10:00PM ","09/12/2024 11:00PM ","0.810","0.000"
"09/12/2024 ","09/12/2024 11:00PM ","09/13/2024 12:00AM ","0.414","0.000"
"09/13/2024 ","09/13/2024 12:00AM ","09/13/2024 01:00AM ","0.354","0.000"
